filename,size_bytes,sha256,zip_entry_count,zip_test,audience,contains_private_key,supersedes_sha256
PurrStone_v10_2_Coder01_PHASE1_Q2_CORRECTED_R1_2026-08-09.zip,105476,ac5f32bf334720d8bf578a1065b6af688eda1778a6ae2ffef8d1dbfc100062f3,47,PASS,Coder01 only,False,312314fbbbea2e2ab8ed82c385d38b0ccaf509332a55d97292f2d4cd52f3d948
PurrStone_v10_2_Coder02_PHASE1_Q2_CORRECTED_R1_2026-08-09.zip,105486,8b84a48f369d7b7b597f105128215eb668462425df9c1675ba76d8a53f70965b,47,PASS,Coder02 only,False,0a6a8edd2dd1a41faf2c300359dab65eaeece1ccdbdde1769a7cdce6d8768b3f
